device: cuda | torch 2.6.0+cu124 | NVIDIA GeForce GTX 1650
15:02:28  onetime_SPX_High       tcn c03  loss 0.006991  120 epochs   125 s  peak  292 MB
15:05:06  onetime_SPX_High       tcn c05  loss 0.003210  146 epochs   158 s  peak  408 MB
15:08:00  onetime_SPX_High       tcn c11  loss 0.004668  150 epochs   173 s  peak  408 MB
15:10:33  walkforward_SPX_High   tcn c01  loss 0.013522  150 epochs   153 s  peak  442 MB
15:13:02  walkforward_SPX_High   tcn c06  loss 0.001448  150 epochs   148 s  peak  408 MB
15:15:29  walkforward_SPX_High   tcn c11  loss 0.004539  150 epochs   147 s  peak  408 MB
15:20:25  onetime_SPX_High       trm c00  loss 0.038418  150 epochs   296 s  peak  410 MB
15:25:14  onetime_SPX_High       trm c06  loss 0.008527  150 epochs   288 s  peak  410 MB
15:30:05  onetime_SPX_High       trm c12  loss 0.006921  150 epochs   291 s  peak  410 MB
15:34:55  walkforward_SPX_High   trm c02  loss 0.028470  150 epochs   290 s  peak  410 MB
15:40:05  walkforward_SPX_High   trm c07  loss 0.005173  128 epochs   310 s  peak  410 MB
15:46:22  walkforward_SPX_High   trm c11  loss 0.011345  150 epochs   377 s  peak  410 MB
15:48:43  onetime_SPX_Low        tcn c01  loss 0.008707  150 epochs   141 s  peak  408 MB
15:50:54  onetime_SPX_Low        tcn c05  loss 0.002606  150 epochs   130 s  peak  408 MB
15:53:18  onetime_SPX_Low        tcn c09  loss 0.009153  150 epochs   145 s  peak  408 MB
15:55:57  onetime_SPX_Low        tcn c14  loss 0.002526  150 epochs   158 s  peak  408 MB
15:58:31  walkforward_SPX_Low    tcn c04  loss 0.005600  150 epochs   154 s  peak  408 MB
16:01:24  walkforward_SPX_Low    tcn c09  loss 0.014154  150 epochs   173 s  peak  408 MB
16:03:44  walkforward_SPX_Low    tcn c14  loss 0.000504  150 epochs   139 s  peak  408 MB
16:08:00  onetime_SPX_Low        trm c04  loss 0.015561  124 epochs   256 s  peak  410 MB
16:12:23  onetime_SPX_Low        trm c08  loss 0.012197  117 epochs   263 s  peak  410 MB
16:17:59  onetime_SPX_Low        trm c10  loss 0.066151  150 epochs   336 s  peak  410 MB
16:22:48  onetime_SPX_Low        trm c15  loss 0.451446  135 epochs   289 s  peak  410 MB
16:27:43  walkforward_SPX_Low    trm c04  loss 0.015843  150 epochs   295 s  peak  410 MB
16:32:43  walkforward_SPX_Low    trm c09  loss 0.037866  150 epochs   300 s  peak  410 MB
16:38:19  walkforward_SPX_Low    trm c14  loss 0.004865  150 epochs   336 s  peak  410 MB
16:40:38  onetime_SSEC_High      tcn c08  loss 0.003664  150 epochs   138 s  peak  302 MB
16:42:54  onetime_SSEC_High      tcn c13  loss 0.000792  150 epochs   136 s  peak  406 MB
16:45:09  walkforward_SSEC_High  tcn c01  loss 0.007895  150 epochs   134 s  peak  406 MB
16:47:25  walkforward_SSEC_High  tcn c06  loss 0.001365  150 epochs   136 s  peak  406 MB
16:49:45  walkforward_SSEC_High  tcn c11  loss 0.004623  150 epochs   140 s  peak  406 MB
16:53:33  onetime_SSEC_High      trm c00  loss 0.037602  116 epochs   228 s  peak  406 MB
16:58:52  onetime_SSEC_High      trm c05  loss 0.005926  150 epochs   319 s  peak  406 MB
17:03:50  onetime_SSEC_High      trm c10  loss 0.053355  150 epochs   298 s  peak  406 MB
17:08:46  onetime_SSEC_High      trm c15  loss 0.003530  150 epochs   296 s  peak  406 MB
17:13:22  walkforward_SSEC_High  trm c04  loss 0.012408  148 epochs   276 s  peak  406 MB
17:17:56  walkforward_SSEC_High  trm c09  loss 0.047976  150 epochs   274 s  peak  406 MB
17:22:41  walkforward_SSEC_High  trm c14  loss 0.003400  150 epochs   285 s  peak  406 MB
17:24:54  onetime_SSEC_Low       tcn c05  loss 0.002192  150 epochs   132 s  peak  406 MB
17:27:08  onetime_SSEC_Low       tcn c10  loss 0.034435  150 epochs   134 s  peak  406 MB
17:29:29  onetime_SSEC_Low       tcn c15  loss 0.000686  150 epochs   141 s  peak  406 MB
17:31:51  walkforward_SSEC_Low   tcn c04  loss 0.004291  150 epochs   142 s  peak  406 MB
17:34:13  walkforward_SSEC_Low   tcn c10  loss 0.035493  150 epochs   141 s  peak  406 MB
17:35:45  walkforward_SSEC_Low   tcn c15  loss 0.000004  103 epochs    92 s  peak  406 MB
17:40:27  onetime_SSEC_Low       trm c01  loss 0.022083  149 epochs   282 s  peak  406 MB
17:45:04  onetime_SSEC_Low       trm c06  loss 0.021557  148 epochs   277 s  peak  406 MB
17:50:16  onetime_SSEC_Low       trm c12  loss 0.005900  150 epochs   312 s  peak  406 MB
17:54:10  walkforward_SSEC_Low   trm c00  loss 0.034714  117 epochs   234 s  peak  406 MB
20:50:02  walkforward_SSEC_Low   trm c05  loss 0.007743  150 epochs  10552 s  peak  406 MB
20:55:13  walkforward_SSEC_Low   trm c10  loss 0.120147   96 epochs   311 s  peak  406 MB
21:01:58  walkforward_SSEC_Low   trm c14  loss 0.003338  150 epochs   405 s  peak  406 MB
